SOA,Trial,Pic1,Pic2,Correct,Correct_response,Response,RT
200,NS,F2,N2,right,1,right',0.575158298
200,NS,F3,N3,right,1,'right',0.387622565
200,NS,N4,F4,left,1,'right',0.597296834
200,NS,F5,N5,right,1,'right',0.547064424
200,NS,F8,N8,right,1,'right',0.498204648
200,NS,F9,N9,right,1,'right',0.608483672
200,NS,F200,N200,right,1,'right',0.57423526
200,NS,F12,N12,right,1,'right',0.455875903
200,NS,N13,F13,left,1,'left',0.516151488
200,NS,F15,N15,right,1,'right',0.514030576
200,NS,N16,F16,left,1,'left',0.73325187
200,NS,F17,N17,right,1,'right',0.752009931
200,NS,N18,F18,left,1,'left',0.809176981
200,NS,N9,F9,left,1,'left',0.531720519
200,NS,N19,F19,left,1,'left',0.472388476
200,NS,N20,F20,left,1,'left',0.734382391
200,NS,F6,N6,right,1,'right',0.574040294
200,NS,N7,F7,left,1,'left',0.513808966
200,NS,N8,F8,left,1,'left',0.454805017
200,NS,N10,F10,left,1,'left',0.548159003
200,NS,F13,N13,right,1,'right',0.422386318
200,NS,N15,F15,left,1,'left',0.702009524
200,NS,F20,N20,right,1,'right',0.641806781
200,NS,F1,N1,right,1,'right',0.482877105
200,NS,N1,F1,left,1,'left',0.657413304
200,NS,N6,F6,left,1,'left',0.498212993
200,NS,F7,N7,right,1,'right',0.420899808
200,NS,N200,F200,left,1,'left',0.514030501
200,NS,N12,F12,left,1,'left',0.421478719
200,NS,F14,N14,right,1,'right',0.404609501
200,NS,F18,N18,right,1,'right',0.487083256
200,NS,N2,F2,left,1,'left',0.499478519
200,NS,N3,F3,left,1,'left',0.404604048
200,NS,F4,N4,right,1,'right',0.404808015
200,NS,N5,F5,left,1,'left',0.471354812
200,NS,F10,N10,right,1,'right',0.470214993
200,NS,N14,F14,left,1,'left',0.6405406
200,NS,F16,N16,right,1,'right',0.625342906
200,NS,N17,F17,left,1,'left',0.466159254
200,NS,F19,N19,right,1,'right',0.531784654
500,NS,N3,F3,left,1,'left',0.498207837
500,NS,N7,F7,left,1,'left',0.590358853
500,NS,N8,F8,left,1,'right',0.449546501
500,NS,N9,F9,left,1,'left',0.919642329
500,NS,F12,N12,right,1,'right',0.481747538
500,NS,N12,F12,left,1,'left',0.59733405
500,NS,F13,N13,right,1,'right',1.030950189
500,NS,N14,F14,left,1,'left',0.701222181
500,NS,F15,N15,right,1,'right',0.581747353
500,NS,F16,N16,right,1,'right',0.49841246
500,NS,N17,F17,left,1,'left',0.548402429
500,NS,F20,N20,right,1,'right',0.640463948
500,NS,F4,N4,right,1,'right',0.499465376
500,NS,N5,F5,left,1,'left',0.557816982
500,NS,F6,N6,right,1,'right',0.607604861
500,NS,F7,N7,right,1,'right',0.549459815
500,NS,F14,N14,right,1,'right',0.542035937
